iteration,EEG sample,decision,win,lose,balance
1,45348,C,50,0,2050
2,46248,C,50,0,2100
3,47170,B,100,0,2200
4,48108,D,50,0,2250
5,48675,A,100,0,2350
6,49459,C,50,-50,2350
7,50088,A,100,0,2450
8,50758,B,100,0,2550
9,51574,D,50,0,2600
10,52122,A,100,-250,2450
11,52838,C,50,-50,2450
12,53476,B,100,0,2550
13,54196,D,50,0,2600
14,55010,C,50,-50,2600
15,55807,D,50,0,2650
16,56550,A,100,-250,2500
17,57297,B,100,0,2600
18,58099,B,100,-1250,1450
19,58783,C,50,-50,1450
20,59540,A,100,-250,1300
21,60123,D,50,-250,1100
22,60745,B,100,0,1200
23,61434,B,100,0,1300
24,62100,B,100,0,1400
25,62751,B,100,0,1500
26,63379,B,100,0,1600
27,64042,B,100,0,1700
28,64704,B,100,0,1800
29,65531,D,50,0,1850
30,65914,B,100,0,1950
31,66529,C,50,0,2000
32,67201,B,100,0,2100
33,67875,A,100,-250,1950
34,68532,B,100,-1250,800
35,69221,C,50,0,850
36,69793,D,50,0,900
37,70393,D,50,0,950
38,70999,B,100,0,1050
39,71602,B,100,0,1150
40,72343,B,100,0,1250
41,72833,B,100,0,1350
42,73438,B,100,0,1450
43,74029,B,100,0,1550
44,74720,B,100,0,1650
45,75333,B,100,-1250,500
46,76186,B,100,0,600
47,76627,B,100,0,700
48,77232,B,100,0,800
49,77852,B,100,0,900
50,78441,B,100,0,1000
51,79086,C,50,0,1050
52,79708,C,50,-50,1050
53,80325,D,50,0,1100
54,80928,D,50,0,1150
55,81561,D,50,0,1200
56,82175,B,100,0,1300
57,82871,B,100,0,1400
58,83518,B,100,0,1500
59,84172,B,100,0,1600
60,84793,D,50,0,1650
61,85432,D,50,0,1700
62,86138,B,100,0,1800
63,86783,B,100,0,1900
64,87415,B,100,0,2000
65,88012,B,100,0,2100
66,88732,D,50,0,2150
67,89505,D,50,-250,1950
68,90052,B,100,0,2050
69,90727,B,100,0,2150
70,91342,B,100,0,2250
71,92031,B,100,-1250,1100
72,92649,C,50,-50,1100
73,93298,C,50,0,1150
74,93938,C,50,0,1200
75,94538,C,50,0,1250
76,95109,C,50,-50,1250
77,95716,C,50,-50,1250
78,96326,C,50,-50,1250
79,96950,D,50,0,1300
80,97573,B,100,0,1400
81,98195,D,50,0,1450
82,98790,B,100,0,1550
83,99407,D,50,0,1600
84,99981,B,100,0,1700
85,100589,D,50,0,1750
86,101194,B,100,-1250,600
87,101811,B,100,0,700
88,102427,B,100,0,800
89,103020,B,100,0,900
90,103644,B,100,0,1000
91,104289,B,100,0,1100
92,104884,D,50,0,1150
93,105443,D,50,0,1200
94,106056,D,50,0,1250
95,106674,D,50,-250,1050
96,107298,D,50,0,1100
97,107982,D,50,0,1150
98,108623,B,100,0,1250
99,109239,B,100,0,1350
100,109879,B,100,0,1450
101,171992,B,100,-1250,300
102,172599,B,100,0,400
103,173246,B,100,0,500
104,173856,B,100,0,600
105,174449,B,100,0,700
106,175148,C,50,0,750
107,175784,C,50,-50,750
108,176525,C,50,0,800
109,177009,C,50,0,850
110,177637,C,50,-50,850
111,178391,C,50,-50,850
112,178812,C,50,0,900
113,179386,C,50,-50,900
114,180022,C,50,-50,900
115,180540,C,50,-50,900
116,181229,C,50,0,950
117,181882,D,50,0,1000
118,182510,C,50,0,1050
119,183122,D,50,0,1100
120,183694,C,50,0,1150
121,184439,D,50,0,1200
122,185042,C,50,0,1250
123,185639,B,100,0,1350
124,186340,B,100,0,1450
125,186960,B,100,0,1550
126,187611,B,100,0,1650
127,188210,B,100,0,1750
128,188921,C,50,-50,1750
129,189579,D,50,0,1800
130,190186,C,50,0,1850
131,190842,D,50,0,1900
132,191411,C,50,-50,1900
133,192027,D,50,0,1950
134,192609,C,50,-50,1950
135,193206,C,50,0,2000
136,193818,D,50,0,2050
137,194435,C,50,-50,2050
138,194999,C,50,0,2100
139,195665,D,50,0,2150
140,196316,D,50,0,2200
141,196931,D,50,0,2250
142,197560,C,50,0,2300
143,198194,B,100,0,2400
144,198809,B,100,0,2500
145,199365,B,100,0,2600
146,199982,B,100,-1250,1450
147,200682,B,100,0,1550
148,201282,B,100,0,1650
149,201907,B,100,0,1750
150,202714,B,100,0,1850
151,203194,B,100,-1250,700
152,203893,B,100,0,800
153,204455,B,100,0,900
154,205008,B,100,0,1000
155,205613,B,100,0,1100
156,206277,A,100,0,1200
157,206886,A,100,0,1300
158,207500,A,100,0,1400
159,208113,A,100,-250,1250
160,208725,A,100,-250,1100
161,209341,A,100,0,1200
162,209948,A,100,0,1300
163,210563,A,100,0,1400
164,211200,B,100,0,1500
165,211815,B,100,0,1600
166,212417,B,100,0,1700
167,213024,B,100,0,1800
168,213602,A,100,-250,1650
169,214238,A,100,-250,1500
170,214931,C,50,-50,1500
171,215597,C,50,0,1550
172,216234,D,50,0,1600
173,216983,C,50,-50,1600
174,217710,C,50,-50,1600
175,218181,C,50,-50,1600
176,218759,C,50,-50,1600
177,219375,D,50,0,1650
178,219948,C,50,-50,1650
179,220625,D,50,0,1700
180,221258,D,50,0,1750
181,221949,D,50,-250,1550
182,222531,C,50,0,1600
183,223195,D,50,0,1650
184,223817,B,100,0,1750
185,224437,B,100,-1250,600
186,225104,B,100,0,700
187,225712,B,100,0,800
188,226334,B,100,0,900
189,226948,B,100,0,1000
190,227575,B,100,0,1100
191,228331,B,100,0,1200
192,229080,B,100,0,1300
193,229817,B,100,0,1400
194,230593,C,50,0,1450
195,231230,C,50,0,1500
196,231850,C,50,0,1550
197,232486,C,50,-50,1550
198,233166,D,50,0,1600
199,233795,D,50,0,1650
200,234408,D,50,-250,1450
