iteration,EEG sample,decision,win,lose,balance
1,46145,B,100,0,2100
2,47757,D,50,0,2150
3,48761,C,50,0,2200
4,49549,A,100,0,2300
5,50424,B,100,0,2400
6,51140,D,50,0,2450
7,52113,C,50,0,2500
8,52778,A,100,0,2600
9,53440,B,100,0,2700
10,54089,D,50,0,2750
11,54934,A,100,-250,2600
12,55608,C,50,-50,2600
13,56288,B,100,0,2700
14,56925,D,50,0,2750
15,57553,C,50,-50,2750
16,58477,B,100,-1250,1600
17,59104,A,100,-250,1450
18,60550,B,100,0,1550
19,61430,D,50,-250,1350
20,62428,B,100,0,1450
21,63223,B,100,0,1550
22,64075,A,100,-250,1400
23,64699,B,100,0,1500
24,65411,B,100,0,1600
25,66171,B,100,0,1700
26,66767,B,100,0,1800
27,67375,B,100,0,1900
28,67992,B,100,0,2000
29,68841,B,100,-1250,850
30,69449,D,50,0,900
31,70104,C,50,-50,900
32,70853,A,100,-250,750
33,71546,B,100,0,850
34,72176,B,100,0,950
35,72802,B,100,0,1050
36,73620,B,100,0,1150
37,74271,B,100,0,1250
38,74856,D,50,0,1300
39,75476,D,50,0,1350
40,76112,D,50,0,1400
41,76743,D,50,0,1450
42,77373,D,50,0,1500
43,78049,D,50,0,1550
44,78679,A,100,0,1650
45,79303,A,100,0,1750
46,79911,A,100,0,1850
47,80528,A,100,-250,1700
48,81188,C,50,-50,1700
49,81795,B,100,0,1800
50,82415,B,100,0,1900
51,83051,B,100,-1250,750
52,83700,D,50,0,800
53,84331,D,50,0,850
54,84944,D,50,-250,650
55,85581,A,100,-250,500
56,86196,C,50,0,550
57,86874,B,100,0,650
58,87488,C,50,0,700
59,88056,B,100,0,800
60,88642,D,50,0,850
61,89295,A,100,0,950
62,89929,B,100,0,1050
63,90576,A,100,0,1150
64,91333,B,100,0,1250
65,91789,A,100,0,1350
66,92452,D,50,0,1400
67,93102,C,50,0,1450
68,93744,D,50,0,1500
69,94368,C,50,-50,1500
70,95040,A,100,-250,1350
71,95685,B,100,0,1450
72,96347,D,50,0,1500
73,96986,B,100,0,1600
74,97628,D,50,0,1650
75,98287,B,100,0,1750
76,98936,C,50,-50,1750
77,99640,B,100,0,1850
78,100207,D,50,0,1900
79,100907,C,50,0,1950
80,101570,A,100,-250,1800
81,102354,B,100,0,1900
82,102747,C,50,0,1950
83,103296,B,100,0,2050
84,103935,D,50,0,2100
85,104553,B,100,0,2200
86,105292,C,50,0,2250
87,105949,B,100,0,2350
88,106538,D,50,-250,2150
89,107175,B,100,0,2250
90,107803,A,100,-250,2100
91,108423,B,100,0,2200
92,109034,C,50,-50,2200
93,109658,B,100,0,2300
94,110246,D,50,0,2350
95,110912,B,100,0,2450
96,111555,D,50,0,2500
97,112202,B,100,-1250,1350
98,113054,A,100,0,1450
99,113887,B,100,0,1550
100,114254,D,50,0,1600
101,177022,A,100,-250,1450
102,177701,B,100,0,1550
103,178327,D,50,0,1600
104,179063,A,100,0,1700
105,179704,C,50,-50,1700
106,180338,B,100,0,1800
107,180973,D,50,0,1850
108,181599,B,100,-1250,700
109,182307,A,100,0,800
110,182924,B,100,0,900
111,183548,A,100,-250,750
112,184170,D,50,0,800
113,184792,C,50,-50,800
114,185489,D,50,0,850
115,186301,A,100,-250,700
116,186960,B,100,0,800
117,187626,D,50,0,850
118,188255,B,100,0,950
119,188895,B,100,0,1050
120,189515,B,100,0,1150
121,190129,B,100,0,1250
122,190807,B,100,0,1350
123,191426,B,100,0,1450
124,192046,B,100,-1250,300
125,192673,A,100,0,400
126,193339,A,100,-250,250
127,193935,B,100,0,350
128,194551,B,100,0,450
129,195158,B,100,0,550
130,195782,B,100,0,650
131,196408,B,100,0,750
132,197017,C,50,0,800
133,197857,B,100,0,900
134,198288,C,50,-50,900
135,199068,B,100,0,1000
136,199777,B,100,0,1100
137,200317,B,100,0,1200
138,200951,A,100,-250,1050
139,201575,B,100,0,1150
140,202209,B,100,0,1250
141,202827,B,100,0,1350
142,203487,D,50,0,1400
143,204113,B,100,-1250,250
144,204826,A,100,-250,100
145,205427,B,100,0,200
146,206066,B,100,0,300
147,206788,B,100,0,400
148,207416,B,100,0,500
149,208080,B,100,-1250,-650
150,208789,C,50,0,-600
151,209407,C,50,0,-550
152,210046,A,100,0,-450
153,210672,A,100,0,-350
154,211294,A,100,0,-250
155,211945,A,100,0,-150
156,212807,A,100,-250,-300
157,213475,B,100,0,-200
158,214089,B,100,0,-100
159,214730,B,100,0,0
160,215347,D,50,0,50
161,215937,B,100,0,150
162,216572,D,50,0,200
163,217202,C,50,-50,200
164,217753,A,100,0,300
165,218493,B,100,0,400
166,218993,B,100,0,500
167,219704,B,100,0,600
168,220291,D,50,0,650
169,221019,C,50,-50,650
170,221622,A,100,-250,500
171,222236,B,100,0,600
172,222860,B,100,0,700
173,223583,B,100,-1250,-450
174,224164,A,100,-250,-600
175,224732,C,50,0,-550
176,225348,D,50,0,-500
177,225968,C,50,-50,-500
178,226587,D,50,0,-450
179,227207,D,50,0,-400
180,227831,D,50,0,-350
181,228451,B,100,0,-250
182,229096,B,100,0,-150
183,229881,B,100,0,-50
184,230611,B,100,0,50
185,231281,D,50,-250,-150
186,231815,C,50,-50,-150
187,232439,C,50,-50,-150
188,233063,D,50,0,-100
189,233691,D,50,0,-50
190,234412,B,100,0,50
191,234921,B,100,0,150
192,235595,B,100,0,250
193,236254,B,100,0,350
194,236897,B,100,0,450
195,237519,B,100,0,550
196,238159,B,100,0,650
197,239186,B,100,-1250,-500
198,239812,A,100,0,-400
199,240443,A,100,-250,-550
200,241046,A,100,0,-450
