iteration,EEG sample,decision,win,lose,balance
1,45761,B,100,0,2100
2,46769,B,100,0,2200
3,47353,D,50,0,2250
4,47981,C,50,0,2300
5,48604,A,100,0,2400
6,49215,A,100,0,2500
7,49810,B,100,0,2600
8,50417,C,50,0,2650
9,51089,D,50,0,2700
10,51704,D,50,0,2750
11,52322,D,50,0,2800
12,52926,B,100,0,2900
13,53531,B,100,-1250,1750
14,54184,A,100,-250,1600
15,54783,C,50,-50,1600
16,55395,D,50,-250,1400
17,56233,C,50,-50,1400
18,56713,B,100,0,1500
19,57319,B,100,0,1600
20,57987,B,100,0,1700
21,58592,B,100,0,1800
22,59205,B,100,0,1900
23,59848,A,100,-250,1750
24,60509,C,50,-50,1750
25,61143,D,50,0,1800
26,61751,D,50,0,1850
27,62358,D,50,0,1900
28,62964,C,50,-50,1900
29,63567,B,100,0,2000
30,64176,B,100,0,2100
31,65011,B,100,0,2200
32,65407,B,100,0,2300
33,66084,B,100,-1250,1150
34,66745,A,100,-250,1000
35,67415,C,50,0,1050
36,67995,B,100,0,1150
37,68663,B,100,0,1250
38,69300,B,100,0,1350
39,69923,B,100,0,1450
40,70539,B,100,0,1550
41,71252,B,100,0,1650
42,71758,B,100,0,1750
43,72315,B,100,-1250,600
44,72956,A,100,-250,450
45,73576,A,100,0,550
46,74363,A,100,0,650
47,74867,A,100,0,750
48,75433,A,100,-250,600
49,76065,D,50,0,650
50,76681,D,50,0,700
51,77267,C,50,0,750
52,77916,B,100,0,850
53,78557,B,100,0,950
54,79181,A,100,-250,800
55,79807,A,100,0,900
56,80425,B,100,0,1000
57,81036,B,100,0,1100
58,81700,B,100,0,1200
59,82318,B,100,0,1300
60,82933,B,100,0,1400
61,83557,B,100,0,1500
62,84183,C,50,0,1550
63,84862,B,100,0,1650
64,85471,C,50,-50,1650
65,86228,B,100,0,1750
66,86613,C,50,-50,1750
67,87283,B,100,0,1850
68,87896,B,100,0,1950
69,88526,C,50,0,2000
70,89206,B,100,0,2100
71,89739,C,50,0,2150
72,90359,B,100,0,2250
73,90975,B,100,0,2350
74,91534,A,100,0,2450
75,92080,C,50,0,2500
76,92717,C,50,-50,2500
77,93320,B,100,0,2600
78,93871,B,100,-1250,1450
79,94491,C,50,-50,1450
80,95117,C,50,-50,1450
81,95718,C,50,0,1500
82,96354,B,100,0,1600
83,96979,C,50,-50,1600
84,97571,B,100,0,1700
85,98172,A,100,0,1800
86,98777,A,100,-250,1650
87,99364,D,50,0,1700
88,99942,B,100,0,1800
89,100550,B,100,-1250,650
90,101161,C,50,0,700
91,101774,D,50,0,750
92,102390,C,50,0,800
93,103016,A,100,-250,650
94,103645,B,100,0,750
95,104302,C,50,-50,750
96,104922,B,100,0,850
97,105554,B,100,0,950
98,106182,B,100,0,1050
99,106929,B,100,0,1150
100,107391,C,50,-50,1150
101,169771,B,100,0,1250
102,170389,C,50,0,1300
103,170971,D,50,0,1350
104,171692,A,100,-250,1200
105,172167,B,100,0,1300
106,172782,A,100,0,1400
107,173601,B,100,0,1500
108,174218,B,100,-1250,350
109,174815,C,50,-50,350
110,175422,B,100,0,450
111,176042,B,100,0,550
112,176781,D,50,0,600
113,177257,B,100,0,700
114,177870,B,100,0,800
115,178490,B,100,0,900
116,179160,C,50,-50,900
117,179788,C,50,-50,900
118,180388,C,50,0,950
119,181039,B,100,0,1050
120,181642,B,100,0,1150
121,182253,B,100,0,1250
122,182864,C,50,0,1300
123,183482,C,50,0,1350
124,184100,C,50,0,1400
125,184716,C,50,-50,1400
126,185331,C,50,0,1450
127,185945,B,100,0,1550
128,186565,B,100,0,1650
129,187180,B,100,0,1750
130,187796,B,100,0,1850
131,188406,B,100,-1250,700
132,189050,B,100,0,800
133,189857,B,100,0,900
134,190321,B,100,0,1000
135,190937,B,100,0,1100
136,191550,C,50,-50,1100
137,192225,C,50,-50,1100
138,192836,C,50,0,1150
139,193439,B,100,-1250,0
140,194101,C,50,-50,0
141,194769,B,100,0,100
142,195372,B,100,0,200
143,195981,B,100,0,300
144,196605,A,100,-250,150
145,197213,B,100,0,250
146,197770,A,100,0,350
147,198352,B,100,0,450
148,198961,C,50,0,500
149,199573,B,100,0,600
150,200238,C,50,0,650
151,200860,B,100,0,750
152,201646,A,100,0,850
153,202106,B,100,0,950
154,202728,A,100,-250,800
155,203467,B,100,0,900
156,204087,B,100,-1250,-250
157,204723,C,50,-50,-250
158,205486,D,50,-250,-450
159,206050,A,100,-250,-600
160,206673,B,100,0,-500
161,207284,B,100,0,-400
162,207900,C,50,0,-350
163,208526,B,100,0,-250
164,209187,A,100,0,-150
165,209818,A,100,-250,-300
166,210650,B,100,0,-200
167,211076,B,100,0,-100
168,211690,B,100,0,0
169,212372,C,50,-50,0
170,212983,B,100,0,100
171,213631,B,100,0,200
172,214313,B,100,0,300
173,214931,A,100,-250,150
174,215603,B,100,0,250
175,216247,B,100,0,350
176,216882,B,100,-1250,-800
177,217512,B,100,0,-700
178,218170,D,50,0,-650
179,218787,C,50,-50,-650
180,219638,D,50,0,-600
181,220040,D,50,0,-550
182,220755,B,100,0,-450
183,221369,B,100,0,-350
184,222012,B,100,0,-250
185,222634,B,100,0,-150
186,223287,C,50,-50,-150
187,223900,C,50,-50,-150
188,224505,B,100,0,-50
189,225105,A,100,-250,-200
190,225764,B,100,0,-100
191,226425,B,100,0,0
192,227035,C,50,-50,0
193,227680,B,100,-1250,-1150
194,228335,A,100,0,-1050
195,229005,A,100,0,-950
196,229734,A,100,0,-850
197,230253,C,50,0,-800
198,230885,A,100,0,-700
199,231515,A,100,-250,-850
200,232175,C,50,0,-800
